日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025/7/9,3.07,0.66,37949147,8.19,33103872,7.15,4845275,1.05,-8598840,-1.86,-29350307,-6.34
2025/5/26,3.03,0.66,11100329,4.14,12754693,4.75,-1654364,-0.62,-11220009,-4.18,119681,0.04
2025/5/19,3.06,0.66,-16565591,-5.13,-2316735,-0.72,-14248856,-4.42,4030617,1.25,12534974,3.88
2025/5/14,3.12,0.65,15190349,3.81,18342920,4.6,-3152571,-0.79,-9645895,-2.42,-5544454,-1.39
2025/4/22,3.11,0.65,11482284,2.16,-5155024,-0.97,16637308,3.12,-9647247,-1.81,-1835036,-0.34
2025/7/11,3.12,0.65,699189,0.14,24841419,5.13,-24142230,-4.98,-20464126,-4.22,19764937,4.08
2025/3/5,3.47,0.58,-50205143,-7.25,-21450412,-3.1,-28754731,-4.16,19161187,2.77,31043957,4.49
2025/3/18,3.5,0.57,-8822635,-1.07,-31792479,-3.86,22969844,2.79,3156698,0.38,5665939,0.69
2025/2/19,3.7,0.54,-82243699,-6.21,-59049347,-4.46,-23194352,-1.75,-7194368,-0.54,89438064,6.75
2025/6/12,2.99,0.34,43043570,7.91,38009158,6.98,5034412,0.93,-11172980,-2.05,-31870591,-5.86
2025/6/5,2.97,0.34,16062141,4.84,19221209,5.79,-3159068,-0.95,-23689616,-7.14,7627475,2.3
2025/6/27,2.99,0.34,3136009,0.59,4713759,0.89,-1577750,-0.3,-13880817,-2.61,10744809,2.02
2025/6/16,2.92,0.34,938765,0.37,13296030,5.26,-12357265,-4.89,-4625089,-1.83,3686323,1.46
2025/4/8,2.91,0.34,-44423417,-6.59,-21331286,-3.16,-23092131,-3.43,10100949,1.5,34322468,5.09
2025/4/18,3.04,0.33,19794601,5.02,23989132,6.08,-4194531,-1.06,-15303056,-3.88,-4491545,-1.14
2025/7/3,3.05,0.33,-21165656,-6.62,-21082294,-6.59,-83362,-0.03,-8253171,-2.58,29418827,9.2
2025/1/9,3.22,0.31,-42534428,-4.92,-18402763,-2.13,-24131665,-2.79,14266729,1.65,28267698,3.27
2025/3/26,3.31,0.3,-6123132,-1.5,-4382769,-1.07,-1740363,-0.42,-11239857,-2.74,17362987,4.24
2025/3/12,3.45,0.29,-1113813,-0.18,9673387,1.6,-10787200,-1.79,-25877102,-4.29,26990916,4.47
2025/6/26,2.98,0,31598459,4.49,14468849,2.06,17129610,2.43,-26809242,-3.81,-4789216,-0.68
2025/5/23,3.01,0,28213714,7.22,8595455,2.2,19618259,5.02,-5012556,-1.28,-23201157,-5.94
2025/3/17,3.48,0,-21219783,-2.77,-29327671,-3.83,8107888,1.06,-1375797,-0.18,22595580,2.95
2025/4/1,3.17,0,-23496664,-7.33,-2722505,-0.85,-20774159,-6.48,-9988992,-3.12,33485655,10.45
2025/4/25,3.03,0,-28051565,-7.42,-30451375,-8.06,2399810,0.64,2419678,0.64,25631887,6.78
2025/1/22,3.28,-0.3,9712811,1.25,55121405,7.11,-45408594,-5.86,-14857864,-1.92,5145054,0.66
